100,0,65
100,0,68
100,1,68
100,1,69
60,1,68
61,0,68
61,1,68
62,0,63
62,0,66
62,1,64
63,0,61
63,0,63
63,0,66
63,1,67
64,0,60
64,1,60
64,1,63
64,1,64
65,0,60
65,0,65
65,1,62
65,1,69
66,0,60
66,0,63
66,0,64
67,0,69
67,1,60
67,1,68
68,0,64
68,0,66
68,1,62
68,1,64
68,1,67
69,0,63
69,1,64
70,0,61
70,0,68
70,1,69
71,1,60
71,1,66
72,0,64
72,1,63
72,1,68
73,0,61
73,0,62
73,0,65
73,1,64
73,1,68
74,0,67
74,0,68
74,1,60
74,1,62
74,1,67
76,0,61
76,0,65
76,1,61
76,1,65
77,0,62
77,1,62
77,1,63
78,0,63
78,0,65
78,1,60
78,1,65
78,1,66
78,1,67
79,0,61
79,0,65
79,0,67
79,0,69
79,1,64
79,1,67
80,0,67
80,1,62
80,1,66
81,1,62
81,1,63
81,1,64
81,1,67
81,1,69
82,0,61
82,1,61
82,1,68
83,0,64
83,1,62
84,0,60
84,0,65
84,0,69
84,1,60
85,0,62
85,0,63
85,0,69
85,1,61
85,1,62
85,1,65
85,1,68
85,1,69
86,0,66
86,1,66
86,1,69
87,0,68
87,1,65
87,1,66
88,0,65
88,1,61
88,1,63
89,0,61
89,1,64
90,0,62
90,0,67
90,1,67
90,1,68
91,0,60
91,0,68
91,1,67
92,0,61
92,0,63
92,0,68
92,1,63
92,1,68
93,0,66
93,1,66
95,1,60
96,0,61
96,0,66
96,1,61
96,1,65
96,1,68
97,0,61
97,0,66
97,1,66
98,0,65
98,0,66
98,1,65
98,1,67
99,1,61
